ID,Experiment,Treatment,Condition,Sample,Side,W_sum_4,W_percent_4,W_sum_end,W_percent_end,R_count,R_density,R_percent,R_length,W_mean_center
NREXP303_B73.Mannitol.160.1,NREXP303_B73,Mannitol,160,1,Block,-1.639669298,0.2759210716,-1.802335302,0.2199719049,13,2.549019608,0.2452830189,5.1,-0.1540367503
NREXP303_B73.Mannitol.160.1,NREXP303_B73,Mannitol,160,1,Air_1,-1.698100535,0.2857537918,-2.53874096,0.3098489412,0,0,0,5.1,-0.2124679874
NREXP303_B73.Mannitol.160.1,NREXP303_B73,Mannitol,160,1,Air_2,-1.698100535,0.2857537918,-2.53874096,0.3098489412,0,0,0,5.1,-0.2124679874
NREXP303_B73.Mannitol.160.1,NREXP303_B73,Mannitol,160,1,Plate,-0.9066598225,0.1525713448,-1.313662319,0.1603302128,40,7.843137255,0.7547169811,5.1,0.5789727251
NREXP303_B73.Mannitol.160.2,NREXP303_B73,Mannitol,160,2,Block,-1.785901944,0.2634421219,-2.018584418,0.2465870702,12,2.352941177,0.2,5.1,-0.0911255629
NREXP303_B73.Mannitol.160.2,NREXP303_B73,Mannitol,160,2,Air_1,-1.970155556,0.2906217566,-2.440966269,0.2981845671,0,0,0,5.1,-0.2753791748
NREXP303_B73.Mannitol.160.2,NREXP303_B73,Mannitol,160,2,Air_2,-1.970155556,0.2906217566,-2.440966269,0.2981845671,0,0,0,5.1,-0.2753791748
NREXP303_B73.Mannitol.160.2,NREXP303_B73,Mannitol,160,2,Plate,-1.052892469,0.1553143648,-1.285574942,0.1570437955,48,9.411764706,0.8,5.1,0.6418839125
NREXP303_B73.Mannitol.160.3,NREXP303_B73,Mannitol,160,3,Block,-1.441496309,0.3070068762,-1.533638392,0.2328688078,1,0.1818181818,0.027027027,5.5,-0.2676656714
NREXP303_B73.Mannitol.160.3,NREXP303_B73,Mannitol,160,3,Air_1,-1.272669703,0.2710505381,-2.003621713,0.304231429,0,0,0,5.5,-0.0988390662
NREXP303_B73.Mannitol.160.3,NREXP303_B73,Mannitol,160,3,Air_2,-1.272669703,0.2710505381,-2.003621713,0.304231429,0,0,0,5.5,-0.0988390662
NREXP303_B73.Mannitol.160.3,NREXP303_B73,Mannitol,160,3,Plate,-0.7084868332,0.1508920475,-1.044965408,0.1586683341,36,6.545454546,0.972972973,5.5,0.4653438039
NREXP303_B73.Mannitol.160.4,NREXP303_B73,Mannitol,160,4,Block,-2.201250642,0.2375597785,-1.89978228,0.3104519481,9,1.666666667,0.1666666667,5.4,0.1152722301
NREXP303_B73.Mannitol.160.4,NREXP303_B73,Mannitol,160,4,Air_1,-2.79829984,0.3019935475,-1.648594937,0.2694042972,0,0,0,5.4,-0.4817769678
NREXP303_B73.Mannitol.160.4,NREXP303_B73,Mannitol,160,4,Air_2,-2.79829984,0.3019935475,-1.648594937,0.2694042972,0,0,0,5.4,-0.4817769678
NREXP303_B73.Mannitol.160.4,NREXP303_B73,Mannitol,160,4,Plate,-1.468241167,0.1584531265,-0.9224363127,0.1507394575,45,8.333333333,0.8333333333,5.4,0.8482817054
NREXP303_B73.Mannitol.240.1,NREXP303_B73,Mannitol,240,1,Block,-1.795020328,0.351703365,-1.443817579,0.295844573,4,0.9523809524,0.085106383,4.2,-0.5190726782
NREXP303_B73.Mannitol.240.1,NREXP303_B73,Mannitol,240,1,Air_1,-1.306632078,0.2560120861,-1.362849512,0.27925386,0,0,0,4.2,-0.0306844283
NREXP303_B73.Mannitol.240.1,NREXP303_B73,Mannitol,240,1,Air_2,-1.306632078,0.2560120861,-1.362849512,0.27925386,0,0,0,4.2,-0.0306844283
NREXP303_B73.Mannitol.240.1,NREXP303_B73,Mannitol,240,1,Plate,-0.6955061153,0.1362724629,-0.7108081032,0.1456477071,43,10.23809524,0.914893617,4.2,0.5804415348
NREXP303_B73.Mannitol.240.2,NREXP303_B73,Mannitol,240,2,Block,-1.780960182,0.3564917016,-1.037694846,0.2389152068,5,1.041666667,0.1470588235,4.8,-0.5320109261
NREXP303_B73.Mannitol.240.2,NREXP303_B73,Mannitol,240,2,Air_1,-1.266695437,0.2535522221,-1.317237719,0.3032761732,0,0,0,4.8,-0.0177461804
NREXP303_B73.Mannitol.240.2,NREXP303_B73,Mannitol,240,2,Air_2,-1.266695437,0.2535522221,-1.317237719,0.3032761732,0,0,0,4.8,-0.0177461804
NREXP303_B73.Mannitol.240.2,NREXP303_B73,Mannitol,240,2,Plate,-0.6814459693,0.1364038543,-0.6711901084,0.1545324467,29,6.041666667,0.8529411765,4.8,0.5675032869
NREXP303_B73.Mannitol.240.3,NREXP303_B73,Mannitol,240,3,Block,-2.063507373,0.3049733164,-1.969700624,0.2439763796,5,0.9090909091,0.119047619,5.5,-0.371959898
NREXP303_B73.Mannitol.240.3,NREXP303_B73,Mannitol,240,3,Air_1,-1.869344684,0.276277301,-2.433466654,0.3014206203,0,0,0,5.5,-0.1777972085
NREXP303_B73.Mannitol.240.3,NREXP303_B73,Mannitol,240,3,Air_2,-1.869344684,0.276277301,-2.433466654,0.3014206203,0,0,0,5.5,-0.1777972085
NREXP303_B73.Mannitol.240.3,NREXP303_B73,Mannitol,240,3,Plate,-0.96399316,0.1424720817,-1.236691149,0.1531823798,37,6.727272727,0.880952381,5.5,0.727554315
NREXP303_B73.Mannitol.240.4,NREXP303_B73,Mannitol,240,4,Block,-2.011183701,0.3134411854,-1.525845264,0.2823583827,0,0,0,5.6,-0.4070680052
NREXP303_B73.Mannitol.240.4,NREXP303_B73,Mannitol,240,4,Air_1,-1.746804797,0.2722379691,-1.542625056,0.2854634911,0,0,0,5.6,-0.1426891013
NREXP303_B73.Mannitol.240.4,NREXP303_B73,Mannitol,240,4,Air_2,-1.746804797,0.2722379691,-1.542625056,0.2854634911,0,0,0,5.6,-0.1426891013
NREXP303_B73.Mannitol.240.4,NREXP303_B73,Mannitol,240,4,Plate,-0.9116694883,0.1420828763,-0.7928357882,0.146714635,41,7.321428571,1,5.6,0.6924462078
NREXP303_B73.Mannitol.80.1,NREXP303_B73,Mannitol,80,1,Block,-1.718255239,0.2129891123,-1.718255239,0.2129891123,34,6.41509434,0.425,5.3,0.2985793547
NREXP303_B73.Mannitol.80.1,NREXP303_B73,Mannitol,80,1,Air_1,-2.498666317,0.309726232,-2.498666317,0.309726232,0.5,0.0943396227,0.00625,5.3,-0.4818317235
NREXP303_B73.Mannitol.80.1,NREXP303_B73,Mannitol,80,1,Air_2,-2.498666317,0.309726232,-2.498666317,0.309726232,0.5,0.0943396227,0.00625,5.3,-0.4818317235
NREXP303_B73.Mannitol.80.1,NREXP303_B73,Mannitol,80,1,Plate,-1.351750501,0.1675584237,-1.351750501,0.1675584237,45,8.490566038,0.5625,5.3,0.6650840924
NREXP303_B73.Mannitol.80.2,NREXP303_B73,Mannitol,80,2,Block,-1.182630678,0.2433743055,-1.182630678,0.2433743055,33,7.021276596,0.4230769231,4.7,0.0321962893
NREXP303_B73.Mannitol.80.2,NREXP303_B73,Mannitol,80,2,Air_1,-1.430275625,0.2943373138,-1.430275625,0.2943373138,0,0,0,4.7,-0.2154486581
NREXP303_B73.Mannitol.80.2,NREXP303_B73,Mannitol,80,2,Air_2,-1.430275625,0.2943373138,-1.430275625,0.2943373138,0,0,0,4.7,-0.2154486581
NREXP303_B73.Mannitol.80.2,NREXP303_B73,Mannitol,80,2,Plate,-0.8161259404,0.1679510668,-0.8161259404,0.1679510668,45,9.574468085,0.5769230769,4.7,0.3987010269
NREXP303_B73.Mannitol.80.3,NREXP303_B73,Mannitol,80,3,Block,-1.424245304,0.2245216112,-1.369414778,0.2629329314,32,6.4,0.4,5,0.1616213037
NREXP303_B73.Mannitol.80.3,NREXP303_B73,Mannitol,80,3,Air_1,-1.93074028,0.304366753,-1.479035946,0.2839806196,0,0,0,5,-0.3448736726
NREXP303_B73.Mannitol.80.3,NREXP303_B73,Mannitol,80,3,Air_2,-1.93074028,0.304366753,-1.479035946,0.2839806196,0,0,0,5,-0.3448736726
NREXP303_B73.Mannitol.80.3,NREXP303_B73,Mannitol,80,3,Plate,-1.057740566,0.1667448827,-0.8807417943,0.1691058294,48,9.6,0.6,5,0.5281260414
NREXP303_B73.Mannitol.80.4,NREXP303_B73,Mannitol,80,4,Block,-1.568527295,0.2173015048,-1.568527295,0.2173015048,28,5.490196078,0.3835616438,5.1,0.2360245151
NREXP303_B73.Mannitol.80.4,NREXP303_B73,Mannitol,80,4,Air_1,-2.223828694,0.3080860136,-2.223828694,0.3080860136,0,0,0,5.1,-0.4192768839
NREXP303_B73.Mannitol.80.4,NREXP303_B73,Mannitol,80,4,Air_2,-2.223828694,0.3080860136,-2.223828694,0.3080860136,0,0,0,5.1,-0.4192768839
NREXP303_B73.Mannitol.80.4,NREXP303_B73,Mannitol,80,4,Plate,-1.202022558,0.166526468,-1.202022558,0.166526468,45,8.823529412,0.6164383562,5.1,0.6025292528
NREXP303_Oh7B.Control.0.1,NREXP303_Oh7B,Control,0,1,Block,-0.4986455135,0.2052490497,-0.6273133685,0.1952495358,16,4.324324324,0.380952381,3.7,0.1087208961
NREXP303_Oh7B.Control.0.1,NREXP303_Oh7B,Control,0,1,Air_1,-0.7160873058,0.2947509503,-0.9791267337,0.3047504642,1.5,0.4054054054,0.0357142857,3.7,-0.1087208961
NREXP303_Oh7B.Control.0.1,NREXP303_Oh7B,Control,0,1,Air_2,-0.7160873058,0.2947509503,-0.9791267337,0.3047504642,1.5,0.4054054054,0.0357142857,3.7,-0.1087208961
NREXP303_Oh7B.Control.0.1,NREXP303_Oh7B,Control,0,1,Plate,-0.4986455135,0.2052490497,-0.6273133685,0.1952495358,23,6.216216216,0.5476190476,3.7,0.1087208961
NREXP303_Oh7B.Control.0.2,NREXP303_Oh7B,Control,0,2,Block,-0.353134996,0.2312460903,-0.6253392635,0.1860578302,22,3.859649123,0.5,5.7,0.0286390218
NREXP303_Oh7B.Control.0.2,NREXP303_Oh7B,Control,0,2,Air_1,-0.4104130396,0.2687539097,-1.05515777,0.3139421698,0.5,0.0877192983,0.0113636364,5.7,-0.0286390218
NREXP303_Oh7B.Control.0.2,NREXP303_Oh7B,Control,0,2,Air_2,-0.4104130396,0.2687539097,-1.05515777,0.3139421698,0.5,0.0877192983,0.0113636364,5.7,-0.0286390218
NREXP303_Oh7B.Control.0.2,NREXP303_Oh7B,Control,0,2,Plate,-0.353134996,0.2312460903,-0.6253392635,0.1860578302,21,3.684210526,0.4772727273,5.7,0.0286390218
NREXP303_Oh7B.Control.0.3,NREXP303_Oh7B,Control,0,3,Block,-1.20969828,0.1794110777,-1.429141326,0.1769190756,42,7.777777778,0.4615384615,5.4,0.4759533193
NREXP303_Oh7B.Control.0.3,NREXP303_Oh7B,Control,0,3,Air_1,-2.161604919,0.3205889223,-2.609827681,0.3230809244,2,0.3703703704,0.021978022,5.4,-0.4759533193
NREXP303_Oh7B.Control.0.3,NREXP303_Oh7B,Control,0,3,Air_2,-2.161604919,0.3205889223,-2.609827681,0.3230809244,2,0.3703703704,0.021978022,5.4,-0.4759533193
NREXP303_Oh7B.Control.0.3,NREXP303_Oh7B,Control,0,3,Plate,-1.20969828,0.1794110777,-1.429141326,0.1769190756,45,8.333333333,0.4945054945,5.4,0.4759533193
NREXP303_Oh7B.Control.0.4,NREXP303_Oh7B,Control,0,4,Block,-1.270235428,0.177831434,-0.8436766416,0.1944648763,30,6,0.4545454545,5,0.5154941805
NREXP303_Oh7B.Control.0.4,NREXP303_Oh7B,Control,0,4,Air_1,-2.301223789,0.322168566,-1.325549641,0.3055351237,1.5,0.3,0.0227272728,5,-0.5154941805
NREXP303_Oh7B.Control.0.4,NREXP303_Oh7B,Control,0,4,Air_2,-2.301223789,0.322168566,-1.325549641,0.3055351237,1.5,0.3,0.0227272728,5,-0.5154941805
NREXP303_Oh7B.Control.0.4,NREXP303_Oh7B,Control,0,4,Plate,-1.270235428,0.177831434,-0.8436766416,0.1944648763,33,6.6,0.5,5,0.5154941805
NREXP303_Oh7B.Mannitol.160.1,NREXP303_Oh7B,Mannitol,160,1,Block,-1.932670389,0.251283173,-1.713182833,0.269965838,16,3.333333333,0.2857142857,4.8,-0.0098691469
NREXP303_Oh7B.Mannitol.160.1,NREXP303_Oh7B,Mannitol,160,1,Air_1,-2.279436833,0.296369274,-1.826284169,0.2877885107,2,0.4166666667,0.0357142857,4.8,-0.3566355907
NREXP303_Oh7B.Mannitol.160.1,NREXP303_Oh7B,Mannitol,160,1,Air_2,-2.279436833,0.296369274,-1.826284169,0.2877885107,2,0.4166666667,0.0357142857,4.8,-0.3566355907
NREXP303_Oh7B.Mannitol.160.1,NREXP303_Oh7B,Mannitol,160,1,Plate,-1.199660914,0.1559782789,-0.9801733573,0.1544571407,36,7.5,0.6428571429,4.8,0.7231403284
NREXP303_Oh7B.Mannitol.160.2,NREXP303_Oh7B,Mannitol,160,2,Block,-1.523470832,0.2935953934,-1.699032858,0.2716666944,9,2.142857143,0.2045454545,4.2,-0.2262171401
NREXP303_Oh7B.Mannitol.160.2,NREXP303_Oh7B,Mannitol,160,2,Air_1,-1.437541289,0.2770354979,-1.7945259,0.2869355451,2,0.4761904762,0.0454545455,4.2,-0.1402875976
NREXP303_Oh7B.Mannitol.160.2,NREXP303_Oh7B,Mannitol,160,2,Air_2,-1.437541289,0.2770354979,-1.7945259,0.2869355451,2,0.4761904762,0.0454545455,4.2,-0.1402875976
NREXP303_Oh7B.Mannitol.160.2,NREXP303_Oh7B,Mannitol,160,2,Plate,-0.7904613562,0.1523336109,-0.9660233824,0.1544622153,31,7.380952381,0.7045454545,4.2,0.5067923352
NREXP303_Oh7B.Mannitol.160.3,NREXP303_Oh7B,Mannitol,160,3,Block,-1.657212519,0.2747971789,-2.204694252,0.335421982,10,2,0.2,5,-0.1495437306
NREXP303_Oh7B.Mannitol.160.3,NREXP303_Oh7B,Mannitol,160,3,Air_1,-1.724629796,0.2859762384,-1.692595646,0.2575113468,2,0.4,0.04,5,-0.2169610071
NREXP303_Oh7B.Mannitol.160.3,NREXP303_Oh7B,Mannitol,160,3,Air_2,-1.724629796,0.2859762384,-1.692595646,0.2575113468,2,0.4,0.04,5,-0.2169610071
NREXP303_Oh7B.Mannitol.160.3,NREXP303_Oh7B,Mannitol,160,3,Plate,-0.9242030441,0.1532503443,-0.9830117933,0.1495553244,36,7.2,0.72,5,0.5834657447
NREXP303_Oh7B.Mannitol.160.4,NREXP303_Oh7B,Mannitol,160,4,Block,-1.559592639,0.2880305292,-1.787788232,0.2637210441,13,2.765957447,0.2452830189,4.7,-0.205923079
NREXP303_Oh7B.Mannitol.160.4,NREXP303_Oh7B,Mannitol,160,4,Air_1,-1.514251219,0.2796567315,-1.968260632,0.2903429722,2,0.4255319149,0.0377358491,4.7,-0.1605816587
NREXP303_Oh7B.Mannitol.160.4,NREXP303_Oh7B,Mannitol,160,4,Air_2,-1.514251219,0.2796567315,-1.968260632,0.2903429722,2,0.4255319149,0.0377358491,4.7,-0.1605816587
NREXP303_Oh7B.Mannitol.160.4,NREXP303_Oh7B,Mannitol,160,4,Plate,-0.826583164,0.1526560078,-1.054778757,0.1555930115,36,7.659574468,0.679245283,4.7,0.5270863963
NREXP303_Oh7B.Mannitol.240.1,NREXP303_Oh7B,Mannitol,240,1,Block,-1.946029604,0.3238255274,-1.946029604,0.3238255274,8,1.632653061,0.2105263158,4.9,-0.4436545291
NREXP303_Oh7B.Mannitol.240.1,NREXP303_Oh7B,Mannitol,240,1,Air_1,-1.608477652,0.267655807,-1.608477652,0.267655807,1,0.2040816327,0.0263157895,4.9,-0.1061025774
NREXP303_Oh7B.Mannitol.240.1,NREXP303_Oh7B,Mannitol,240,1,Air_2,-1.608477652,0.267655807,-1.608477652,0.267655807,1,0.2040816327,0.0263157895,4.9,-0.1061025774
NREXP303_Oh7B.Mannitol.240.1,NREXP303_Oh7B,Mannitol,240,1,Plate,-0.8465153911,0.1408628586,-0.8465153911,0.1408628586,28,5.714285714,0.7368421053,4.9,0.6558596839
NREXP303_Oh7B.Mannitol.240.2,NREXP303_Oh7B,Mannitol,240,2,Block,-2.066827017,0.3055204799,-1.754316086,0.2598879427,6,1.304347826,0.1363636364,4.6,-0.3755925884
NREXP303_Oh7B.Mannitol.240.2,NREXP303_Oh7B,Mannitol,240,2,Air_1,-1.865398946,0.2757451769,-1.987328082,0.2944068124,1.5,0.3260869565,0.0340909091,4.6,-0.174164518
NREXP303_Oh7B.Mannitol.240.2,NREXP303_Oh7B,Mannitol,240,2,Air_2,-1.865398946,0.2757451769,-1.987328082,0.2944068124,1.5,0.3260869565,0.0340909091,4.6,-0.174164518
NREXP303_Oh7B.Mannitol.240.2,NREXP303_Oh7B,Mannitol,240,2,Plate,-0.9673128036,0.1429891663,-1.02130661,0.1512984325,35,7.608695652,0.7954545455,4.6,0.7239216245
NREXP303_Oh7B.Mannitol.240.3,NREXP303_Oh7B,Mannitol,240,3,Block,-1.749442785,0.3641522329,-0.7291725821,0.2940984956,8,2.580645161,0.32,3.1,-0.5484047114
NREXP303_Oh7B.Mannitol.240.3,NREXP303_Oh7B,Mannitol,240,3,Air_1,-1.202390469,0.2502815054,-0.6937538979,0.2798130136,1,0.3225806452,0.04,3.1,-0.001352395
NREXP303_Oh7B.Mannitol.240.3,NREXP303_Oh7B,Mannitol,240,3,Air_2,-1.202390469,0.2502815054,-0.6937538979,0.2798130136,1,0.3225806452,0.04,3.1,-0.001352395
NREXP303_Oh7B.Mannitol.240.3,NREXP303_Oh7B,Mannitol,240,3,Plate,-0.6499285722,0.1352847562,-0.3626678445,0.1462754773,15,4.838709677,0.6,3.1,0.5511095015
NREXP303_Oh7B.Mannitol.240.4,NREXP303_Oh7B,Mannitol,240,4,Block,-1.874236817,0.3351705314,-1.45207762,0.2935644973,6,1.395348837,0.1304347826,4.3,-0.4762642618
NREXP303_Oh7B.Mannitol.240.4,NREXP303_Oh7B,Mannitol,240,4,Air_1,-1.4714654,0.2631427553,-1.387610411,0.2805312519,3,0.6976744186,0.0652173913,4.3,-0.0734928447
NREXP303_Oh7B.Mannitol.240.4,NREXP303_Oh7B,Mannitol,240,4,Air_2,-1.4714654,0.2631427553,-1.387610411,0.2805312519,3,0.6976744186,0.0652173913,4.3,-0.0734928447
NREXP303_Oh7B.Mannitol.240.4,NREXP303_Oh7B,Mannitol,240,4,Plate,-0.7747226036,0.138543958,-0.7190681448,0.145372999,34,7.906976744,0.7391304348,4.3,0.6232499512
NREXP303_Oh7B.Mannitol.80.1,NREXP303_Oh7B,Mannitol,80,1,Block,-1.023453037,0.263115845,-1.189801276,0.2420359809,17,3.953488372,0.3148148148,4.3,-0.0510172673
NREXP303_Oh7B.Mannitol.80.1,NREXP303_Oh7B,Mannitol,80,1,Air_1,-1.104670871,0.2839958447,-1.451352748,0.2952422333,2,0.4651162791,0.0370370371,4.3,-0.1322351015
NREXP303_Oh7B.Mannitol.80.1,NREXP303_Oh7B,Mannitol,80,1,Air_2,-1.104670871,0.2839958447,-1.451352748,0.2952422333,2,0.4651162791,0.0370370371,4.3,-0.1322351015
NREXP303_Oh7B.Mannitol.80.1,NREXP303_Oh7B,Mannitol,80,1,Plate,-0.6569482989,0.1688924656,-0.8232965382,0.1674795525,33,7.674418605,0.6111111111,4.3,0.3154874704
NREXP303_Oh7B.Mannitol.80.2,NREXP303_Oh7B,Mannitol,80,2,Block,-0.9528395666,0.2757969425,-0.7726036939,0.2455062643,28,6.086956522,0.4179104478,4.6,-0.0891248006
NREXP303_Oh7B.Mannitol.80.2,NREXP303_Oh7B,Mannitol,80,2,Air_1,-0.9578423342,0.2772449806,-0.9230553466,0.2933145049,3.5,0.7608695652,0.052238806,4.6,-0.0941275682
NREXP303_Oh7B.Mannitol.80.2,NREXP303_Oh7B,Mannitol,80,2,Air_2,-0.9578423342,0.2772449806,-0.9230553466,0.2933145049,3.5,0.7608695652,0.052238806,4.6,-0.0941275682
NREXP303_Oh7B.Mannitol.80.2,NREXP303_Oh7B,Mannitol,80,2,Plate,-0.586334829,0.1697130963,-0.5282672021,0.167864726,32,6.956521739,0.4776119403,4.6,0.277379937
NREXP303_Oh7B.Mannitol.80.3,NREXP303_Oh7B,Mannitol,80,3,Block,-1.422457728,0.2242986931,-1.134985793,0.3017697385,22,4.4,0.328358209,5,0.1629925794
NREXP303_Oh7B.Mannitol.80.3,NREXP303_Oh7B,Mannitol,80,3,Air_1,-1.931695255,0.3045972565,-0.9899000849,0.2631943868,0.5,0.1,0.0074626866,5,-0.3462449482
NREXP303_Oh7B.Mannitol.80.3,NREXP303_Oh7B,Mannitol,80,3,Air_2,-1.931695255,0.3045972565,-0.9899000849,0.2631943868,0.5,0.1,0.0074626866,5,-0.3462449482
NREXP303_Oh7B.Mannitol.80.3,NREXP303_Oh7B,Mannitol,80,3,Plate,-1.05595299,0.1665067939,-0.6463128092,0.1718414879,44,8.8,0.6567164179,5,0.5294973171
NREXP303_Oh7B.Mannitol.80.4,NREXP303_Oh7B,Mannitol,80,4,Block,-1.150911468,0.2462677691,-0.9777208424,0.2707780898,20,4.255319149,0.3571428571,4.7,0.0174422635
NREXP303_Oh7B.Mannitol.80.4,NREXP303_Oh7B,Mannitol,80,4,Air_1,-1.369048364,0.2929438934,-1.010922877,0.2799733356,1,0.2127659575,0.0178571429,4.7,-0.2006946324
NREXP303_Oh7B.Mannitol.80.4,NREXP303_Oh7B,Mannitol,80,4,Air_2,-1.369048364,0.2929438934,-1.010922877,0.2799733356,1,0.2127659575,0.0178571429,4.7,-0.2006946324
NREXP303_Oh7B.Mannitol.80.4,NREXP303_Oh7B,Mannitol,80,4,Plate,-0.7844067306,0.1678444441,-0.6112161047,0.169275239,34,7.234042553,0.6071428571,4.7,0.3839470012
